Reporter Name,Partner Name,Trade Flow,Indicator,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 World,Afghanistan,Import,Import Partner Share (%),0.0081,0.0044,0.0041,0.0032,0.0019,0.0016,0.0018,0.0019,0.0019,0.0023,0.0026,0.0017,0.0018,0.0012,0.0011,0.0025,0.0022,0.0025,0.0021,0.0029,0.0032,0.0104,0.004,0.0031,0.0038,0.0043,0.0048,0.0052,0.0067,0.006,0.0069
 World,Albania,Import,Import Partner Share (%),0.0071,0.0092,0.0052,0.0048,0.0026,0.002,0.0046,0.005,0.0061,0.0047,0.0052,0.0048,0.0045,0.0058,0.0056,0.0063,0.0062,0.0061,0.0063,0.0079,0.0133,0.0296,0.0105,0.0108,0.011,0.0132,0.0133,0.0121,0.013,0.0138,0.0148
 World,Algeria,Import,Import Partner Share (%),0.2326,0.208,0.2359,0.2745,0.2561,0.2388,0.2474,0.2428,0.2735,0.2809,0.2217,0.2043,0.2884,0.2788,0.2681,0.3027,0.3229,0.396,0.4146,0.3937,0.4367,0.3761,0.3819,0.402,0.396,0.3501,0.3263,0.2249,0.1893,0.1972,0.2221
 World,American Samoa,Import,Import Partner Share (%),,,,,,,,,,,,,0.0003,0.0003,0.0006,0.0005,0.0003,0.0002,0.0009,0.0005,0.0005,0.0003,0.0003,0.0003,0.0005,0.0003,0.0003,0.0002,0.0003,0.0002,0.0004
 World,Andorra,Import,Import Partner Share (%),0.0005,0.0012,0.0012,0.0011,0.0007,0.0005,0.0012,0.001,0.0009,0.0009,0.0009,0.0009,0.0007,0.0012,0.001,0.0011,0.0013,0.0016,0.0016,0.0012,0.0011,0.0015,0.0018,0.0024,0.0016,0.0017,0.0021,0.0004,0.0007,0.0007,0.0006
 World,Angola,Import,Import Partner Share (%),0.0552,0.0287,0.0491,0.126,0.1172,0.1,0.0802,0.0761,0.0919,0.0872,0.0714,0.0852,0.124,0.1056,0.1216,0.1223,0.1374,0.2108,0.2641,0.2993,0.4206,0.3227,0.3525,0.3663,0.4167,0.3899,0.3487,0.2214,0.179,0.2086,0.2383
 World,Anguila,Import,Import Partner Share (%),0,0,0,0.0001,0,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
 World,Antarctica,Import,Import Partner Share (%),,,,,,,,,,,,,0.0001,0,0,0,0,0,0,0,0,0,0.0004,0.0001,0.0008,0.0002,0.0001,0.0001,0.0001,0,0.0001
 World,Antigua and Barbuda,Import,Import Partner Share (%),0.0003,0.0007,0.0008,0.0006,0.0011,0.0011,0.001,0.0011,0.0011,0.0017,0.0005,0.0008,0.0021,0.0035,0.0039,0.0055,0.002,0.0029,0.003,0.0014,0.0023,0.0129,0.0175,0.0268,0.0035,0.0021,0.0014,0.0015,0.0016,0.0016,0.001
 World,Argentina,Import,Import Partner Share (%),0.2873,0.3597,0.4661,0.4268,0.3947,0.3558,0.4035,0.4253,0.463,0.492,0.4974,0.4111,0.4048,0.4428,0.4208,0.4233,0.409,0.4147,0.3964,0.4327,0.4817,0.4666,0.4586,0.4617,0.4613,0.4309,0.3714,0.3721,0.3701,0.3492,0.3055
 World,Armenia,Import,Import Partner Share (%),,,,,0.0003,0.0007,0.0004,0.0014,0.0033,0.0045,0.0044,0.0034,0.0042,0.0041,0.006,0.0076,0.006,0.0076,0.0074,0.0078,0.0059,0.0049,0.0053,0.0061,0.0064,0.0066,0.0071,0.0072,0.0104,0.011,0.0118
 World,Aruba,Import,Import Partner Share (%),0,0.0001,0,0.0061,0.0126,0.0183,0.0148,0.0142,0.0159,0.0189,0.0127,0.0168,0.0284,0.0218,0.0163,0.0166,0.0271,0.0384,0.0354,0.0334,0.0345,0.0179,0.0026,0.0256,0.0104,0.0034,0.0033,0.0027,0.0011,0.0016,0.0011
 World,Australia,Import,Import Partner Share (%),2.138,1.9847,1.8315,1.5525,1.3435,1.2789,1.1335,1.0274,1.0961,1.1301,1.0347,0.9706,1.0797,1.0973,1.0527,0.9847,1.0161,1.0742,1.0963,1.103,1.2641,1.3621,1.4567,1.5565,1.5305,1.4775,1.4436,1.3005,1.2778,1.4729,1.4641
 World,Austria,Import,Import Partner Share (%),2.1266,1.5125,1.6337,1.2504,1.2765,1.1078,1.1491,1.0499,1.016,0.957,1.0324,1.0019,0.8786,0.9503,1.0014,1.0431,1.0523,0.9947,1.0053,1.0588,0.9854,0.9986,0.922,0.9118,0.8503,0.8735,0.8974,0.8913,0.9113,1.113,0.9186
 World,Azerbaijan,Import,Import Partner Share (%),,,,,0.0018,0.0026,0.0019,0.0031,0.0077,0.0144,0.0089,0.0144,0.0225,0.0238,0.0267,0.0253,0.0276,0.0392,0.0711,0.1037,0.1495,0.1405,0.1457,0.1805,0.1596,0.1574,0.1449,0.1034,0.0822,0.0982,0.1077
 World,"Bahamas, The",Import,Import Partner Share (%),0.0087,0.0162,0.0204,0.0314,0.0386,0.0296,0.0167,0.0136,0.0134,0.0137,0.0111,0.013,0.0144,0.0188,0.0211,0.021,0.0193,0.0247,0.0195,0.0165,0.018,0.0197,0.0207,0.0174,0.0162,0.0218,0.0222,0.0143,0.0102,0.008,0.0095
 World,Bahrain,Import,Import Partner Share (%),0.0683,0.0675,0.0709,0.0638,0.0449,0.0499,0.0397,0.0358,0.0371,0.0373,0.0425,0.0433,0.0461,0.0487,0.0448,0.0425,0.0428,0.0514,0.0607,0.0543,0.0647,0.0519,0.0616,0.0558,0.0685,0.0637,0.0611,0.0532,0.0493,0.0585,0.0736
 World,Bangladesh,Import,Import Partner Share (%),0.033,0.03,0.0323,0.0558,0.0638,0.0697,0.0764,0.0801,0.0811,0.0882,0.0941,0.0929,0.1007,0.1076,0.1041,0.1103,0.1119,0.0998,0.1103,0.1028,0.1068,0.1429,0.1383,0.1513,0.1535,0.1699,0.1857,0.2245,0.2453,0.2327,0.2412
 World,Barbados,Import,Import Partner Share (%),0.0007,0.0012,0.0012,0.0042,0.0034,0.0054,0.0036,0.0034,0.0046,0.0042,0.0039,0.0041,0.0092,0.0055,0.0059,0.0052,0.0056,0.004,0.003,0.0039,0.0041,0.0087,0.0076,0.0068,0.0039,0.0024,0.0027,0.0019,0.0016,0.0018,0.0013
 World,Belarus,Import,Import Partner Share (%),,,,,0.0109,0.0148,0.0282,0.035,0.0938,0.1197,0.1202,0.0906,0.0957,0.0984,0.0974,0.1107,0.1279,0.1242,0.1351,0.1457,0.16,0.1328,0.1315,0.168,0.1645,0.1443,0.1396,0.1174,0.122,0.1395,0.1438
 World,Belgium,Import,Import Partner Share (%),,,,,,,,,,,,2.4517,2.2722,2.3457,2.3825,2.4316,2.4225,2.3559,2.2891,2.367,2.19,2.1773,1.995,1.9858,1.8741,1.9164,1.9547,1.8642,1.9154,1.8469,1.8913
 World,Belgium-Luxembourg,Import,Import Partner Share (%),3.712,2.8774,3.0059,2.4112,3.0042,2.4468,2.9582,2.9432,2.763,2.5865,2.633,,,,,,,,,,,,,,,,,,,,
 World,Belize,Import,Import Partner Share (%),0.0003,0.0018,0.0021,0.0038,0.0049,0.0065,0.005,0.0045,0.005,0.0049,0.0056,0.0064,0.005,0.0046,0.0031,0.0038,0.0033,0.0033,0.0039,0.0031,0.0153,0.0158,0.0028,0.005,0.0029,0.0029,0.0025,0.0027,0.0026,0.0031,0.0025
 World,Benin,Import,Import Partner Share (%),0.0026,0.0034,0.0033,0.0029,0.0022,0.0033,0.0041,0.0045,0.0054,0.0059,0.0049,0.0048,0.0044,0.0061,0.0035,0.0056,0.0054,0.0058,0.005,0.0054,0.0046,0.0035,0.0097,0.0087,0.0082,0.0065,0.0122,0.0067,0.0068,0.0076,0.0051
 World,Bermuda,Import,Import Partner Share (%),0.0924,0.0555,0.0494,0.0335,0.0227,0.0134,0.0056,0.0051,0.007,0.0065,0.0029,0.003,0.0032,0.0048,0.0022,0.005,0.002,0.0048,0.0042,0.0019,0.0114,0.0017,0.0051,0.0036,0.0017,0.0022,0.0005,0.0032,0.0029,0.001,0.0013
 World,Bhutan,Import,Import Partner Share (%),0,0.0001,0.0001,0.0001,0.0002,0.0007,0.0007,0.001,0.0008,0.0004,0.0003,0.0004,0.0004,0.0005,0.0005,0.0008,0.0006,0.0012,0.0015,0.0022,0.0011,0.0012,0.0014,0.0013,0.0011,0.0008,0.001,0.0017,0.0009,0.0014,0.0019
 World,Bolivia,Import,Import Partner Share (%),0.005,0.0089,0.0108,0.0183,0.0154,0.0175,0.0215,0.0196,0.0197,0.0183,0.0175,0.0147,0.0158,0.0176,0.0183,0.0197,0.0227,0.0226,0.0283,0.0258,0.0362,0.0354,0.0395,0.043,0.0564,0.0662,0.0667,0.0524,0.0444,0.0429,0.0465
 World,Bonaire,Import,Import Partner Share (%),,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0009,0.0001,0.0001,0.0001,0.0002
 World,Bosnia and Herzegovina,Import,Import Partner Share (%),,,,,0.008,0.0023,0.0009,0.0012,0.0084,0.0131,0.0151,0.015,0.014,0.0152,0.0174,0.0165,0.0215,0.0251,0.0274,0.0287,0.0289,0.0274,0.0278,0.0294,0.0267,0.0289,0.0308,0.0317,0.0343,0.0359,0.0382
 World,Botswana,Import,Import Partner Share (%),,,,,,,,,,,,,0.0154,0.0294,0.0257,0.0267,0.031,0.0387,0.0293,0.0204,0.0147,0.0169,0.0192,0.0312,0.0305,0.0368,0.0342,0.028,0.0452,0.0412,0.0331
 World,Bouvet Island,Import,Import Partner Share (%),,,,,,,,,,,,,0,0.0001,0.0001,0.0001,0,0,0.0001,0,0.0003,0.0001,0.0008,0.0019,0.0003,0,0,0,0,0,0
 World,Br. Antr. Terr,Import,Import Partner Share (%),,,,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,0,,0,0
 World,Brazil,Import,Import Partner Share (%),1.1522,1.0716,0.9577,1.0942,1.0386,1.0786,1.1155,0.9682,0.9425,0.9889,0.9832,0.8994,0.911,0.9947,0.9848,1.0596,1.1457,1.2236,1.2018,1.2568,1.3582,1.3539,1.4288,1.5267,1.4517,1.3328,1.2745,1.2703,1.2535,1.3282,1.3675
 World,British Indian Ocean Ter.,Import,Import Partner Share (%),0,0,0.0001,0.0001,0.0001,0.0001,0.0003,0.0004,0.0003,0.0005,0.0002,0.0007,0.0009,0.0009,0.0006,0.0001,0,0,0,0,0.0001,0,0,0.0001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001
 World,British Virgin Islands,Import,Import Partner Share (%),0.0001,0.0003,0.0007,0.0137,0.0009,0.0015,0.0018,0.0023,0.0026,0.0047,0.0026,0.0032,0.0033,0.0038,0.0064,0.0053,0.0049,0.0141,0.0032,0.0031,0.0034,0.0027,0.0035,0.0035,0.007,0.0057,0.0026,0.004,0.0044,0.0025,0.0014
 World,Brunei,Import,Import Partner Share (%),0.227,0.1478,0.1403,0.1152,0.0915,0.0921,0.064,0.0531,0.0557,0.0538,0.0399,0.0416,0.0564,0.0577,0.0569,0.0565,0.0528,0.0589,0.0649,0.0556,0.0698,0.0569,0.0592,0.069,0.0737,0.0606,0.0555,0.0391,0.0302,0.0316,0.0355
 World,Bulgaria,Import,Import Partner Share (%),0.0561,0.0619,0.0593,0.0423,0.0671,0.059,0.0773,0.087,0.0826,0.0849,0.0821,0.0728,0.0773,0.0859,0.0911,0.0955,0.1049,0.1087,0.1209,0.1196,0.1255,0.1234,0.126,0.1406,0.1376,0.1508,0.1558,0.1532,0.1629,0.1686,0.1699
 World,Bunkers,Import,Import Partner Share (%),0.0231,0.0152,0.0129,0.0069,0.0068,0.0041,0.0035,0.0067,0.0033,0.0019,0.0021,0.0008,0.0022,0.0016,0.0007,0.0007,0.0003,0.0003,0.0001,0.0001,0.0011,0.0033,0.0028,0.0011,0.0002,0.0003,0.0014,0.0001,0,0,0.0151
 World,Burkina Faso,Import,Import Partner Share (%),0.0037,0.0023,0.0034,0.0027,0.0026,0.0022,0.0023,0.0024,0.0027,0.0031,0.0045,0.0032,0.0031,0.0033,0.0039,0.0032,0.0043,0.003,0.0029,0.0031,0.0026,0.003,0.004,0.0042,0.0119,0.011,0.0113,0.0111,0.0127,0.0144,0.015
 World,Burundi,Import,Import Partner Share (%),0.011,0.0059,0.0034,0.0023,0.0025,0.0022,0.0023,0.0048,0.0019,0.0017,0.0014,0.0012,0.0008,0.0006,0.0006,0.0005,0.0003,0.0008,0.0007,0.0007,0.0004,0.0008,0.0006,0.0008,0.0015,0.0017,0.0015,0.0016,0.0012,0.0009,0.0012
 World,Cambodia,Import,Import Partner Share (%),0.0002,0.0013,0.0025,0.0024,0.0068,0.0089,0.0063,0.0068,0.0055,0.0105,0.0148,0.021,0.0235,0.0286,0.0318,0.032,0.0323,0.0314,0.0335,0.0334,0.0314,0.0397,0.0388,0.0443,0.052,0.0585,0.0702,0.0913,0.1111,0.1045,0.1059
 World,Cameroon,Import,Import Partner Share (%),0.0313,0.0367,0.0434,0.0307,0.0342,0.0331,0.0472,0.0449,0.0427,0.0439,0.0384,0.0364,0.0386,0.0357,0.0309,0.0349,0.035,0.0331,0.0389,0.0355,0.0354,0.0301,0.0288,0.0292,0.0289,0.0295,0.0307,0.0298,0.0252,0.0247,0.0249
 World,Canada,Import,Import Partner Share (%),1.9933,1.5383,1.3352,5.6954,4.9924,4.8576,4.3601,4.0765,4.0259,4.0598,4.1463,4.3592,4.4728,4.3356,4.0098,3.6445,3.4878,3.4844,3.2205,3.0122,2.8727,2.6,2.6153,2.5456,2.5464,2.5288,2.6312,2.5997,2.4869,2.4409,2.4439
 World,Cape Verde,Import,Import Partner Share (%),0.0003,0.0002,0.0008,0.0002,0.0002,0.0001,0.0002,0.0002,0.0003,0.0006,0.0006,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0003,0.0005,0.0009,0.0004,0.0005,0.0007,0.0005,0.0005,0.0006,0.0006,0.0007
 World,Cayman Islands,Import,Import Partner Share (%),0.0015,0.0012,0.0019,0.0026,0.0036,0.0022,0.0024,0.0029,0.0032,0.0039,0.0035,0.0046,0.0042,0.0028,0.0037,0.0087,0.0073,0.0076,0.0178,0.0024,0.0032,0.0018,0.0076,0.0072,0.0035,0.0047,0.0023,0.0045,0.0138,0.004,0.0055
 World,Central African Republic,Import,Import Partner Share (%),0.0012,0.002,0.0022,0.0012,0.0009,0.0007,0.0011,0.0035,0.0032,0.0034,0.0046,0.0039,0.0037,0.0028,0.0029,0.0017,0.0015,0.0012,0.001,0.001,0.0011,0.0009,0.0009,0.0008,0.001,0.0007,0.0004,0.0005,0.0009,0.0007,0.0006
 World,Chad,Import,Import Partner Share (%),0.0052,0.0044,0.0051,0.0033,0.0025,0.0018,0.0016,0.0026,0.0024,0.0027,0.0026,0.002,0.0015,0.0013,0.001,0.0013,0.0149,0.0208,0.0207,0.0181,0.0244,0.0186,0.0205,0.0218,0.0181,0.0171,0.0171,0.0148,0.0107,0.0076,0.0095
 World,Chile,Import,Import Partner Share (%),0.3154,0.3555,0.3364,0.3314,0.3152,0.2959,0.3047,0.3252,0.3197,0.3238,0.291,0.2901,0.3027,0.2974,0.2926,0.2981,0.3649,0.3984,0.4906,0.4981,0.4382,0.441,0.4691,0.4689,0.4458,0.4342,0.4271,0.4152,0.3936,0.4058,0.4298
 World,China,Import,Import Partner Share (%),2.1232,2.0993,2.0837,2.9302,2.9746,4.934,4.7592,4.6464,4.8019,5.1713,5.2852,5.6705,6.294,6.7671,7.7333,8.386,9.0902,10.0521,10.6031,11.1551,11.0593,12.2464,12.8232,12.3344,12.779,12.9561,13.6324,15.1515,14.3273,14.9139,14.5737
 World,Christmas Island,Import,Import Partner Share (%),0.0004,0.0001,0.0002,0.0002,0.0003,0,0.0002,0,0.0004,0.0004,0.0005,0.0003,0.0003,0.0003,0.0005,0.0003,0.0002,0.0002,0.0002,0.0002,0.0003,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001
 World,Cocos (Keeling) Islands,Import,Import Partner Share (%),0,0,0,0.0003,0.0001,0.0001,0,0.0002,0.0001,0.0001,0.0001,0.0001,0,0,0.0001,0,0.0001,0,0.0001,0,0.0002,0,0.0001,0.0003,0,0,0.0001,0.0001,0,0,0
 World,Colombia,Import,Import Partner Share (%),0.1803,0.1329,0.1296,0.2559,0.2308,0.2075,0.2174,0.2242,0.217,0.2282,0.2253,0.2258,0.2163,0.2133,0.2047,0.1956,0.2015,0.2294,0.217,0.2199,0.2666,0.2733,0.2687,0.319,0.348,0.3319,0.3141,0.2493,0.2271,0.2339,0.2351
 World,Comoros,Import,Import Partner Share (%),0.0004,0.0003,0.0004,0.0008,0.0007,0.0005,0.0006,0.0003,0.0004,0.0003,0.0002,0.0004,0.0003,0.0007,0.0005,0.0005,0.0004,0.0003,0.0004,0.0003,0.0002,0.0003,0.0002,0.0004,0.0003,0.0003,0.0003,0.0003,0.0005,0.0005,0.0006
 World,"Congo, Dem. Rep.",Import,Import Partner Share (%),0.0608,0.0421,0.0314,0.0372,0.0238,0.0198,0.0189,0.0318,0.0318,0.0238,0.021,0.0212,0.0187,0.0196,0.0224,0.0144,0.0133,0.0144,0.0123,0.0152,0.0235,0.0227,0.0382,0.0406,0.0397,0.0415,0.0436,0.0395,0.0302,0.0472,0.0587
 World,"Congo, Rep.",Import,Import Partner Share (%),0.0184,0.0148,0.0139,0.0318,0.0337,0.0238,0.0252,0.0265,0.0317,0.0459,0.0288,0.0331,0.0485,0.0389,0.0339,0.0357,0.0458,0.0602,0.0782,0.0598,0.0792,0.0617,0.0732,0.0658,0.0616,0.0604,0.0599,0.0424,0.0353,0.0408,0.0592
 World,Cook Islands,Import,Import Partner Share (%),0.0002,0.0005,0.0004,0.0004,0.0002,0.0003,0.0003,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0003,0.0001,0.0002,0.0002,0.0002,0.0003,0.0002
 World,Costa Rica,Import,Import Partner Share (%),0.0403,0.0321,0.0365,0.0931,0.0869,0.089,0.0889,0.0799,0.082,0.087,0.1076,0.1305,0.108,0.1001,0.1186,0.1396,0.1293,0.1245,0.1208,0.1207,0.1093,0.157,0.1764,0.1736,0.2004,0.1945,0.1795,0.0839,0.0841,0.0793,0.0709
 World,Cote d'Ivoire,Import,Import Partner Share (%),0.0691,0.0602,0.0571,0.0484,0.0555,0.0496,0.071,0.083,0.0925,0.0819,0.0903,0.0803,0.068,0.0617,0.0689,0.0678,0.0608,0.0567,0.0515,0.0535,0.0577,0.0642,0.0628,0.0591,0.0583,0.0559,0.0609,0.0642,0.0733,0.0708,0.0601
 World,Croatia,Import,Import Partner Share (%),,,,,0.0329,0.0476,0.0881,0.0747,0.069,0.0594,0.0601,0.055,0.0495,0.0542,0.0542,0.0649,0.0732,0.0708,0.073,0.0745,0.0719,0.0746,0.0687,0.0681,0.0639,0.0625,0.0702,0.0679,0.074,0.0765,0.0781
 World,Cuba,Import,Import Partner Share (%),0.0356,0.0488,0.0442,0.0276,0.0341,0.0191,0.026,0.0249,0.0356,0.0321,0.0263,0.0244,0.0209,0.0238,0.0212,0.0169,0.0231,0.0205,0.0206,0.026,0.0197,0.019,0.0185,0.02,0.0178,0.0168,0.0126,0.0115,0.01,0.0114,0.0096
 World,Cura?ao,Import,Import Partner Share (%),,,,,,,,,,,,,,,,,,,,,,,0,0.0213,0.0242,0.0221,0.0149,0.0107,0.0101,0.0075,0.003
 World,Cyprus,Import,Import Partner Share (%),0.015,0.0166,0.0195,0.0113,0.0147,0.0238,0.017,0.0202,0.0258,0.0152,0.0171,0.0175,0.0148,0.0157,0.0157,0.0171,0.0191,0.0215,0.0382,0.0286,0.0237,0.0234,0.0241,0.0287,0.0316,0.0297,0.0198,0.0219,0.0177,0.0177,0.0171
